,CYS_chi1,ASP_chi1,ASP_chi2,GLU_chi1,GLU_chi2,GLU_chi3,PHE_chi1,PHE_chi2,HIS_chi1,HIS_chi2,ILE_chi1,ILE_chi2,LYS_chi1,LYS_chi2,LYS_chi3,LYS_chi4,LEU_chi1,LEU_chi2,MET_chi1,MET_chi2,MET_chi3,ASN_chi1,ASN_chi2,PRO_chi1,GLN_chi1,GLN_chi2,GLN_chi3,ARG_chi1,ARG_chi2,ARG_chi3,ARG_chi4,SER_chi1,THR_chi1,VAL_chi1,TRP_chi1,TRP_chi2,TYR_chi1,TYR_chi2
115.0,5.508516757104711e-06,1.0174761890312288e-05,0.020174571901395568,0.00011284301545668211,0.001767867312129229,0.019940590894387083,1.3328413686145005e-05,0.03590827799627086,1.5954392959983333e-05,0.016578960519681496,1.3879007638885134e-05,0.003232906553462106,0.00013981584401012457,0.0024741339234424396,0.004530300910759467,0.0042757706111706695,7.189211539383664e-06,0.002771737850743624,4.751359642121933e-05,0.0004840714480064259,0.010778099489079391,2.0278442397928805e-05,0.014847100171554127,8.186528846512434e-07,0.0001229001859690569,0.0020459346881025312,0.015458791022568833,7.458372801571716e-05,0.001866931990828051,0.0013401706135433922,0.025947500060349748,6.786799585271035e-05,0.00011633048357964342,0.00011885631697553465,9.676644787697793e-06,0.05079923459990113,1.3328413686145005e-05,0.03590827799627086
125.0,1.7115748495289635e-05,3.3315592030226072e-06,0.02558119725612784,7.991727589757078e-05,0.0011577936803794868,0.02368605854910804,1.5563613496864977e-05,0.021755530898450153,1.2083106432928554e-05,0.012082989121215604,3.620610688404817e-07,0.0026584358042514625,6.688063216368746e-05,0.003485132397926306,0.004807642962969558,0.004968456829617416,5.276485533492597e-07,0.002830702576580401,1.7398271346794567e-05,0.0006509332213175327,0.0071474416429042585,4.100420337816486e-06,0.015448370899272132,8.186528846512432e-07,6.48790899572703e-05,0.0013683228519488048,0.011941471677435339,2.5860077131744723e-05,0.002546535737728543,0.0011739141194358343,0.020788231846765686,0.00018444336603770788,0.0001569946791672179,0.0001563620881100367,2.20537485859159e-05,0.022203173984498017,1.5563613496864977e-05,0.021755530898450153
135.0,6.728259753320752e-05,1.0264804030934519e-05,0.031348756531544335,0.00036590366950761975,0.0034310698578613155,0.027391737155840198,0.00011424354588124006,0.012454409167564396,4.375726892701271e-05,0.010829513468440443,1.2672137409416861e-06,0.005413119596422183,0.0008394820145802129,0.009371754338787114,0.0103309108052276,0.01015211827401962,1.3652906317912095e-05,0.007441625416092066,0.00019235687382980712,0.0034504538402360925,0.008641070277000588,7.977181384479346e-06,0.009078852499605052,8.186528846512432e-07,0.0003224399391876361,0.004045023931885922,0.008817360737992878,0.0004965755727109571,0.008266414548277303,0.003936154406272995,0.021342534378672832,0.000345070258596748,2.831051591539995e-05,0.00022820412859302653,0.00011566966095061856,0.00548260690610886,0.00011424354588124006,0.012454409167564396
145.0,0.0002301773073504439,6.420004626365084e-05,0.03876710339205853,0.0019572929756152863,0.011945205988572077,0.032420309804234326,0.0008523561944878742,0.009894070569562848,0.00040660239705368875,0.012782518865483108,1.85858015338114e-05,0.017444721521985368,0.005962914932705966,0.0264292502931249,0.025454653326532777,0.023385404216827,0.00021824863287908753,0.022098712887096965,0.002150783147884925,0.013821028175928602,0.013221725582814623,0.00010325603941592348,0.0040418961566312805,8.186528846512434e-07,0.0019063761104444429,0.01455332565006515,0.006199571699316952,0.0048684901012948315,0.026199712277263268,0.01334427353727588,0.029059942594032297,0.0008941026472099675,3.7061039016523576e-05,0.0006455218637515475,0.0008744986429068194,0.0015277846852018622,0.0008523561944878742,0.009894070569562848
155.0,0.0011260982113452482,0.0007729217351012363,0.05026471939132235,0.008477034685037747,0.03953539253299837,0.03857086544009351,0.006329671938068066,0.00934752282325273,0.004813416893684372,0.018630155820455824,0.00020667652679644166,0.0891974456568473,0.022192540974632365,0.06305451852885136,0.05683546050458867,0.05030876637833207,0.0037682021437437244,0.04989939390989358,0.01152843615554131,0.04182876843965164,0.02235744960432884,0.0011749568095270374,0.0031515830716457426,8.186528846512432e-07,0.009335342599151718,0.04539729277285133,0.004817948633926887,0.02044771821752421,0.06569205842688536,0.03605663080468439,0.04358052193417821,0.004635795980567179,0.00022493991736417777,0.005317367496336568,0.007574337448007714,0.00057609792224433,0.006329671938068066,0.00934752282325273
165.0,0.010366831804129721,0.010942551223398043,0.06099832782740652,0.04172091456434047,0.11021025254195622,0.043968629109569925,0.041152429285521694,0.007817114626924037,0.03273536424934932,0.0238541637094339,0.0021020662221763386,0.25422140959553235,0.05187631027780235,0.11364185902670021,0.10262368732944896,0.08981652217592928,0.030131964243631952,0.13857185455341256,0.04425129093343601,0.10381408228586392,0.037508736493924756,0.011448671795571812,0.002975041337828481,8.186528846512432e-07,0.042662068012402764,0.10879150139479997,0.0045931151735249635,0.05083209230834675,0.11950904525131065,0.0740786205722946,0.06138410993168693,0.032071119929374295,0.0013419184543899366,0.13325853309118343,0.043791768505851786,0.0001269215734944526,0.041152429285521694,0.007817114626924037
175.0,0.09631503836878656,0.07999100659099466,0.060911392140635755,0.09151456739605505,0.16144476146387682,0.04747257317503874,0.10787206742819652,0.005189802819779062,0.08690228802418686,0.023819908689255116,0.016506364128437506,0.24978072656670774,0.07899513225013116,0.14944291124919504,0.13817042605389818,0.12033901733219951,0.11411336542359929,0.20473067267869446,0.07998477857108749,0.14808452504122072,0.047192117232083566,0.06516641481387933,0.0025073697600262487,8.186528846512432e-07,0.08152458806940795,0.14863113709816161,0.004743205180926115,0.08111340324072233,0.1573955691493324,0.10608000033446781,0.07442021735816826,0.10242784772498958,0.009554027016467955,0.3935808080327854,0.10146232105802186,3.915665565254457e-05,0.10787206742819652,0.005189802819779062
185.0,0.13392423979517762,0.1539117322298009,0.04912483091211519,0.10662201979260956,0.15421756410441131,0.047161640840441076,0.11309258354907845,0.004098694171435019,0.1133646430474392,0.0213626975499918,0.05167939009606082,0.07372807077093432,0.08492557982977855,0.14616975788211767,0.13871583528254236,0.12009363500016629,0.11149457969725772,0.11044884622058872,0.09042177435286823,0.14607495608346957,0.046606126375065754,0.13048014654753184,0.0016544077766633685,8.186528846512434e-07,0.09615242872497407,0.14091304288469475,0.004581560298982574,0.08796230611240445,0.15513739914319838,0.10731286255146862,0.07466450482401056,0.05498955119377835,0.03432264002252487,0.16338570406784425,0.11015712395714466,2.6554513603449762e-05,0.11309258354907845,0.004098694171435019
195.0,0.03331905053631313,0.10268531775556278,0.03577513812239266,0.06994812882453123,0.0932394506623106,0.04284668405308437,0.05334312626801022,0.003949846421076703,0.07703097662704893,0.01913964058975882,0.05440661509710176,0.010345602688909255,0.06608128487381715,0.10644337623562675,0.10402502376290335,0.08908463718089894,0.055014484942130445,0.028903004806812373,0.0670158692362394,0.09843757423999443,0.03624364886854512,0.09540597106191719,0.0012719503887906652,8.186528846512432e-07,0.07265684095084823,0.09333507708832954,0.004205681920630129,0.06685082445133972,0.11451981193172098,0.07676615984663997,0.06150700796476808,0.012697582717477524,0.023548687138429662,0.013040386848257967,0.05990428223037211,2.6554513603449762e-05,0.05334312626801022,0.003949846421076703
205.0,0.005913786204234546,0.03659339607529719,0.02519203512435855,0.021996580828925534,0.030334431906859333,0.03580474544658053,0.014960854614574123,0.004105606733812614,0.023894167003546782,0.014579734307740056,0.022706659932330755,0.0018214705425338912,0.036414658756089485,0.05750149070890375,0.057607739328611615,0.0490229640160466,0.0245621720705463,0.006533212475432164,0.029596243608003173,0.03766035000137536,0.0216851840590725,0.03708695999980317,0.0014850231401630203,8.186528846512432e-07,0.027637880082497675,0.03679236536496853,0.004157963806861555,0.03514642048112403,0.062734383108044,0.037894363560355346,0.04268804226376911,0.0022519997779516625,0.0023147707285736834,0.0011927891721366746,0.018524023620914952,8.641468833664918e-05,0.014960854614574123,0.004105606733812614
